Index,True_Label,Predicted_Label,Probability,Text
7,1.0,0.0,9.059076e-06,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468
"
57,1.0,0.0,2.1651202e-08,"For sale - arsenal dartboard. Good condition but no doubles or trebles!
"
110,1.0,0.0,0.00035212777,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088
"
183,1.0,0.0,3.765116e-08,"This message is brought to you by GMW Ltd. and is not connected to the
"
222,1.0,0.0,0.20779522,"U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
"
232,1.0,0.0,3.782102e-05,"U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
"
245,1.0,0.0,6.535393e-06,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?
"
273,1.0,0.0,0.091843925,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT
"
365,1.0,0.0,3.782102e-05,"U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
"
381,1.0,0.0,9.8252876e-08,"Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
"
382,1.0,0.0,0.31356686,"You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
"
440,1.0,0.0,1.08922045e-08,"TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
"
443,1.0,0.0,0.47187766,"Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
"
462,1.0,0.0,2.26676e-08,"ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
"
561,1.0,0.0,6.782763e-08,"Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
"
589,1.0,0.0,0.006174107,"Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
"
619,1.0,0.0,2.604555e-08,"Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
"
622,1.0,0.0,0.0002725285,"Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
"
685,1.0,0.0,0.02484203,"Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
"
694,1.0,0.0,6.076082e-07,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.
"
702,1.0,0.0,0.024564845,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm
"
742,1.0,0.0,5.261899e-05,"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
"
744,1.0,0.0,0.40768626,"WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
"
817,1.0,0.0,9.0879513e-07,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !
"
832,1.0,0.0,6.2046075e-07,"Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
"
874,1.0,0.0,0.0014742356,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT
"
921,1.0,0.0,0.097640626,"Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
"
953,1.0,0.0,1.6222716e-08,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?
"
968,1.0,0.0,0.012714092,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP
"
979,1.0,0.0,2.6661073e-07,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.
"
1012,1.0,0.0,0.0071273106,"You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill
"
1021,1.0,0.0,5.3338094e-09,"Money i have won wining number 946 wot do i do next
"
1069,1.0,0.0,0.00029727718,"You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
"
