Index,True_Label,Predicted_Label,Probability,Text
1,1.0,0.0,0.21784541,"I crack up when whores say ""I have 15k followers I can't respond 2 every1"". Bitch @user closing in on 100…"
5,0.0,1.0,0.6365317,"Why does NFL commissioner Goodell, whose spineless lack of leadership is costing NFL billions of dollars a year, still have a job?RETWEET to show your disgust; he must be fired.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue #FoxNews"
6,1.0,0.0,0.112458974,Then I hit the club ballin wit a bad attitude. hoes like who u think u is? I'm like bitch who is you?
9,1.0,0.0,0.0021367671,All they need is TLC thats BS #SENDTHEMHOME
16,1.0,0.0,0.13755523,lani is such a cunt omg the bitch is always coming at people for their looks like sorry can u pipe down
17,1.0,0.0,0.212282,@user Ask this old whore to suicide or I can help this bitch die screaming. #BBUK You guyz r shit to bring her back.
18,1.0,0.0,0.00011560902,My man bag cost four thousand bitch your bag cost no thousand Ahahahahah ahhhhhh deexxxterr silly lil hoes
19,1.0,0.0,0.092706,I've never watched a single episode of Game of thrones   Good for you bitch you must be a broke hoe can't afford hbo
20,0.0,1.0,0.86367595,@user We dont care of your meeting Jesus.Have the vote before the mid terms.Make those people vote so we know who is against it so we can vote for those who want it.#BuildThatWall or shut it down. Simple as that.
22,0.0,1.0,0.9690559,@user #MAGA #KAG 2020 USA!! USA!! USA!! USA!! #BUILDKATESWALL #NODACA #AmericaFirst Please remember the only reason the left the libtards the Democrats are so triggered and resistant is because their criminal murderous candidate didn't win that's it that's the only reason!!!
23,0.0,1.0,0.7872442,@user @user YES. IT WAS OBAMA. WE CAN WITNESS #MAGA #WalkAway #LeaveDNC #VoteRed2018 #Trump2020 #TrumpPence2020 #WakeUp #NoJihad #NoDACA
24,0.0,1.0,0.8326099,@user hey white trash go fuck your self dumb shit hoe bitch disgusting hoe
25,0.0,1.0,0.8552162,@user They're like omg how do you not remember her shoes. Like bitch NO YOU THE WEIRD ONE I'm looking at be…
28,1.0,0.0,5.7676225e-06,#Muslim #Islam Terrorist Did This #NeverForget #NeverForget911 #RefugeesNotWelcome
29,0.0,1.0,0.85536456,@user #Immigration will decide the fate of our nation. #StopTheInvasion
31,1.0,0.0,0.18962754,"@user @user @user We don't want our countries to be over run with rapefugee parasite Moslem scum. You already have 57 countries, stay in those countries. Those countries suck because they are full of your type. #StopIslam #BanSharia"
37,0.0,1.0,0.9823455,@user Agree with you 100% #BuildThatWall #MAGA #ImmigrationReform
39,0.0,1.0,0.97731405,#WalkAway #TuesdayThoughts #BuildThatWall SUPPORT @user
49,0.0,1.0,0.9580152,"You dont have to be an idiot to figure it out that Democrats are destroying America.Obama, Hillary and the democratic leaders are all traitors!#DemocratsKill #SocialismSucks #EndDACA #EndChainMigration #DemocratsLie"
50,0.0,1.0,0.97375035,#BUILDthatWALL #MAGA #KAG#Trump: I could use #MILITARY to build my #WALL if Congress plays tough via @user
51,1.0,0.0,0.26551625,You hit the hoe she lay there  I hit the bitch she fuck back  And boy  She is noisy  I can't shut her up  And boy she annoys me
52,0.0,1.0,0.61624974,Karmas a bitch hoe & on my momma you gon get yours.
54,1.0,0.0,0.43832707,"#Bulgaria doing it the way it should be done. #illegalaliens try to enter, #IllegalAliens are put in a #pinebox"
55,0.0,1.0,0.9805578,Complicit?! Complacent?!@ABC @user @user @user @user @user @user @user #FakeNews #FakeJournalists#BuildThatWall #DeportThemAll#NeverVoteDemocratAgain
56,1.0,0.0,0.363822,@user #SendThemHome we do not need those #Students here in #Canada
59,0.0,1.0,0.7996578,#BuildThatWall Put Money Where Your Mouth Is Sir. They Pour In.
68,1.0,0.0,0.22129579,@user Bitch I'm sick 😒 dirty whore
69,0.0,1.0,0.80606645,"Money isn't everything , But everything needs Money...    Sike money everywhere bitch fuck all you haters, hoes and fake ass ""friends""."
70,0.0,1.0,0.9779704,"@user YUP!!If you said nothing while Obama caged kids, you have no room to complain now. Maybe you should focus your ire on the criminals creating the problem instead of the LEOs enforcing the law.#BuildThatWall"
72,1.0,0.0,0.36976755,@user @user My fiancee is in Italy right now visiting family. She told me that she feels heartbroken and very uncomfortable because of the immigrants. They stare at all the women there like they want to hurt them and they Italian military is everywhere. #sendthemback
73,0.0,1.0,0.98238945,@user @user @user @user @user @user #BuildTheWallNow @user @user BEFORE the Midterm elections #BuildTheDamnWall #EndChainMigration #MandateEverify #NoAmnesty #KeepPheonixPromise National Security
75,0.0,1.0,0.9759064,This is worth a read! @user @user #LiberalismIsAMentalDisorder #VoteRepublican2018 #VoteDemsOut #VoteRed #TrumpDerangementSyndrome #Trump2020 #MAGA2018 #MAGA2018 #BuildThatWall
77,1.0,0.0,0.10152017,We let these #migrants in to our country for a better life but what's about our lives and our children's future. That do not want to live by our laws. These #Muslims do not respect our way of life. #SENDTHEMBACK
78,1.0,0.0,0.023150466,Neva trust a bitch🤘 if she tell you she don't got hoes or nigga's her ass lying💯
83,0.0,1.0,0.9461251,"@user Seriously, PM me, we patriots can to this. I've got the time and willingness to do it. #BuildThatWall"
88,0.0,1.0,0.8211751,@user Listen to @user as she insists that legal and illegal immigrants are taking jobs and resources from #NativeAmerican s. #StopImmigration of #white Europeans! They are destroying America with guns and diseases.
93,0.0,1.0,0.92421544,Lots of Proud Veterans would lend a hand as well! #BuildThatWall
95,1.0,0.0,0.01924077,You cuff dat bitch you goofy hoe cause my brudda josh been break dat hoe.
98,0.0,1.0,0.93304557,@user look at you.. all of a sudden.... bitch I'm about to burn your fucking jersey hoe. 😂
99,0.0,1.0,0.97747153,Minnesota ! Meet conservative Dave Hughes running for congress in November! Please come out & vote for him & help work for true conservative change! Tax CutsStop funding for sanctuary cities! Endorsed by @user Improvement in farming #BuildThatWall #RedNovember
100,1.0,0.0,0.0018489539,"@user @user 1) #BuildTheWall, 2) #SecureOurBorders, 3) #EndTheVisaLottery, 4) #EndSanctuaryCities, 5) #EndChainMigration, 6) E-Verify, 7) Reform Asylum Laws, 8) #DeportAllIllegals, 9) #NoAmnesty, & 10) #NoDACA"
102,0.0,1.0,0.96762943,@user @user #BuildThatWall already
103,0.0,1.0,0.9483619,"@user @user is right, #DoWhatWeSaid! #BuildThatWall"
