Index,True_Label,Predicted_Label,Probability,Text
0,1.0,0.0,0.23369229,#ILLEGALimmigrants Don't be #Europe:
1,1.0,0.0,0.2552184,"I crack up when whores say ""I have 15k followers I can't respond 2 every1"". Bitch @user closing in on 100…"
4,1.0,0.0,0.32467362,"""@USAToday Corrected Title """"Illegals caused their own probelms by bringing their kids to commit a crime of invading the U.S !"""" They need to learn how to follow the law and come LEGALLY! Problem Solve #SendThemHome #Trump #MAGA #Immigration #No1MoreIllegal"""
6,1.0,0.0,0.14215836,Then I hit the club ballin wit a bad attitude. hoes like who u think u is? I'm like bitch who is you?
7,1.0,0.0,0.44177932,Every bitch on twitter selling nudes on Patreon now? Is this how all you hoes have money?
9,1.0,0.0,0.18434328,All they need is TLC thats BS #SENDTHEMHOME
13,1.0,0.0,0.22855681,Bitch feed me grapes and stfu
16,1.0,0.0,0.20495673,lani is such a cunt omg the bitch is always coming at people for their looks like sorry can u pipe down
17,1.0,0.0,0.41867414,@user Ask this old whore to suicide or I can help this bitch die screaming. #BBUK You guyz r shit to bring her back.
18,1.0,0.0,0.10766588,My man bag cost four thousand bitch your bag cost no thousand Ahahahahah ahhhhhh deexxxterr silly lil hoes
19,1.0,0.0,0.2691828,I've never watched a single episode of Game of thrones   Good for you bitch you must be a broke hoe can't afford hbo
26,1.0,0.0,0.3638205,"""Media Blackout: DACA Recipient Threatens To Commit Mass Shooting At New York High School via @user is NOT an """"undocumented immigrant""""!She is an """"Illegal Alien Terrorist""""!#BuildTheWall#EnforceUSLaws#DeportThemAll#NoAmnesty"""
28,1.0,0.0,0.24200079,#Muslim #Islam Terrorist Did This #NeverForget #NeverForget911 #RefugeesNotWelcome
31,1.0,0.0,0.35371512,"@user @user @user We don't want our countries to be over run with rapefugee parasite Moslem scum. You already have 57 countries, stay in those countries. Those countries suck because they are full of your type. #StopIslam #BanSharia"
34,1.0,0.0,0.1719506,"START VETTING THE #ILLEGALALIENS THEY TRANSMIT THESE PARASITES INTO OUR COUNTRY USA. PAGUES. PANDORAS BOX. SOUTHERN BORDER. SHIPS. AND AIRPLANES!! THESE PARASITES ARE ON OUR PUBLIC BEACHES, PARKS, STREETSM TREES, ROADS, GRASSES STORES, LIBRARIES, HOTELS, HOSPITALS, SCHOOLS ETC!!"
35,1.0,0.0,0.24171798,@user Ctfu meanwhile she stanning his old bitch 😂😂😂😂✋ stomach hurt
36,1.0,0.0,0.33557728,warning to all you dumb bitches: i don't do no dumb bitch/hoe shit. 👋
37,0.0,1.0,0.52741754,@user Agree with you 100% #BuildThatWall #MAGA #ImmigrationReform
